-90;-75;-60;-45;-30;-15;0;15;30;45;60;75;90
1414;1379;1316;1295;1271;1235;1124;1091;971;887;861;768;599
1404;1389;1303;1299;1276;1238;1119;1091;971;890;856;780;606
1414;1386;1313;1305;1276;1231;1127;1088;971;879;854;771;607
1411;1383;1318;1308;1278;1238;1123;1089;975;888;854;781;606
1415;1383;1316;1303;1276;1235;1127;1089;967;884;855;772;611
1414;1383;1295;1302;1279;1240;1127;1090;967;879;855;780;614
1420;1388;1316;1299;1274;1231;1127;1092;963;886;847;768;614
1414;1382;1319;1299;1278;1238;1127;1093;967;887;857;774;611
1415;1382;1322;1302;1271;1239;1127;1096;971;887;847;770;612
1414;1383;1348;1306;1271;1237;1133;1094;966;896;855;771;607
1411;1383;1315;1299;1271;1231;1126;1090;967;891;863;768;606
1411;1383;1322;1308;1274;1239;1127;1091;963;887;862;774;607
1412;1388;1324;1302;1280;1231;1127;1090;963;888;855;775;612
1413;1388;1326;1308;1279;1239;1131;1091;974;887;851;770;612
1414;1383;1319;1302;1263;1235;1130;1091;967;891;855;772;611
1419;1383;1318;1303;1275;1239;1127;1088;966;887;860;772;607
1418;1383;1318;1299;1277;1235;1127;1088;966;899;855;771;612
1415;1388;1319;1308;1278;1238;1126;1092;963;886;855;774;611
1414;1382;1318;1306;1270;1231;1126;1091;967;892;855;775;611
1411;1387;1316;1304;1276;1231;1127;1090;972;879;859;774;603
1415;1383;1324;1308;1280;1236;1127;1090;971;892;855;775;599
1419;1388;1310;1302;1279;1231;1127;1088;967;887;855;780;607
1423;1388;1320;1295;1270;1230;1127;1093;971;886;862;775;614
1421;1382;1318;1306;1278;1231;1127;1092;966;883;865;773;614
1411;1383;1287;1303;1270;1228;1132;1095;975;896;854;774;609
1415;1386;1292;1303;1279;1232;1127;1091;975;892;855;767;611
1415;1383;1319;1299;1279;1231;1127;1089;973;887;847;774;607
1415;1386;1319;1303;1276;1238;1126;1094;975;891;855;777;606
1411;1383;1327;1308;1263;1231;1130;1088;968;886;855;766;604
1417;1386;1295;1308;1284;1235;1121;1096;970;886;859;774;603
1417;1383;1322;1299;1270;1231;1127;1091;967;892;858;775;614
1415;1388;1324;1303;1278;1236;1123;1089;967;887;860;775;607
1418;1382;1351;1303;1276;1231;1127;1091;967;892;853;774;607
1415;1383;1319;1308;1270;1231;1129;1091;974;887;855;772;606
1414;1388;1319;1308;1276;1231;1123;1091;967;892;854;767;612
1415;1390;1326;1303;1278;1239;1125;1091;967;892;851;771;606
1411;1383;1303;1303;1278;1231;1125;1091;979;890;855;771;612
1420;1382;1324;1302;1279;1223;1123;1093;970;886;859;774;609
1415;1386;1319;1308;1270;1234;1127;1092;974;879;861;775;607
1415;1388;1318;1302;1284;1231;1127;1096;967;879;855;771;615
1414;1386;1311;1303;1270;1233;1127;1088;971;871;854;774;607
1414;1383;1318;1308;1276;1231;1130;1091;967;874;855;774;605
1415;1383;1324;1306;1267;1231;1127;1089;967;867;847;775;613
1416;1382;1319;1303;1282;1231;1127;1092;967;852;863;772;611
1415;1383;1287;1302;1271;1227;1126;1091;972;855;863;777;612
1416;1390;1318;1303;1278;1231;1129;1090;967;855;855;771;615
1420;1386;1317;1302;1279;1236;1134;1090;972;862;865;779;615
1415;1383;1322;1303;1271;1230;1127;1092;967;860;858;774;615
1414;1388;1319;1303;1271;1230;1133;1090;967;863;863;773;623
1415;1383;1322;1303;1280;1231;1125;1091;967;862;855;774;623
1414;1391;1324;1303;1274;1223;1131;1091;978;870;862;782;623
1422;1388;1318;1308;1283;1231;1127;1091;972;862;854;772;623
1414;1389;1324;1302;1276;1223;1126;1091;967;863;855;774;624
1420;1384;1319;1310;1278;1234;1123;1089;967;863;858;775;623
1416;1383;1319;1295;1276;1223;1126;1092;967;863;860;775;627
1415;1383;1324;1303;1280;1230;1127;1091;972;870;855;771;623
1411;1383;1316;1303;1276;1230;1127;1091;975;876;859;775;623
1414;1383;1319;1307;1277;1223;1132;1091;967;871;855;771;627
1418;1388;1319;1308;1274;1230;1126;1089;971;867;851;771;630
1402;1387;1323;1303;1271;1231;1123;1089;967;873;858;772;623
1419;1388;1310;1307;1278;1223;1132;1091;963;867;855;769;628
1415;1390;1315;1303;1282;1236;1133;1091;967;871;863;771;628
1415;1391;1319;1306;1274;1230;1123;1089;971;869;863;769;623
1414;1381;1350;1307;1279;1231;1133;1091;960;871;861;772;615
1414;1387;1355;1308;1272;1230;1127;1089;966;871;855;771;631
1422;1389;1320;1306;1279;1231;1127;1091;974;880;863;770;631
1414;1388;1327;1303;1271;1226;1127;1091;966;879;856;767;631
1415;1383;1315;1310;1278;1235;1127;1089;967;871;855;770;631
1415;1379;1346;1308;1276;1227;1123;1089;973;875;862;770;623
1420;1388;1324;1303;1275;1233;1131;1089;963;871;860;770;629
1415;1375;1324;1308;1271;1227;1130;1088;973;876;862;779;627
1416;1387;1326;1308;1280;1231;1132;1088;966;876;862;770;623
1421;1390;1320;1302;1280;1223;1127;1089;963;878;859;776;627
1415;1383;1327;1303;1274;1243;1132;1088;963;879;858;775;623
1415;1390;1327;1302;1274;1229;1134;1091;967;871;855;779;637
1415;1388;1323;1307;1277;1238;1131;1089;967;878;855;772;627
1422;1386;1322;1303;1270;1228;1127;1091;967;878;855;772;631
1414;1390;1325;1303;1263;1231;1139;1090;966;878;855;776;623
1420;1387;1323;1308;1270;1231;1127;1089;972;884;865;775;627
1418;1383;1311;1302;1280;1241;1126;1083;963;878;854;756;628
1418;1386;1326;1307;1275;1227;1132;1090;972;879;855;774;631
1414;1383;1324;1302;1270;1231;1123;1088;965;871;855;773;627
1422;1390;1324;1303;1274;1231;1127;1085;966;879;855;772;622
1420;1383;1308;1308;1282;1231;1133;1088;965;879;854;782;630
1414;1387;1327;1303;1271;1230;1127;1091;966;878;863;769;623
1414;1386;1322;1303;1271;1230;1132;1088;967;879;847;772;623
1418;1383;1324;1302;1276;1229;1127;1089;971;876;855;775;619
1420;1391;1335;1303;1274;1231;1127;1089;967;871;855;774;630
1419;1390;1323;1308;1280;1236;1135;1089;969;879;855;773;630
1420;1383;1319;1307;1278;1235;1137;1087;963;879;860;771;615
1419;1387;1320;1303;1283;1231;1127;1088;964;879;863;771;628
1415;1384;1294;1302;1271;1231;1127;1088;963;883;855;775;631
1420;1390;1324;1306;1271;1228;1135;1093;963;881;863;778;623
1420;1388;1318;1308;1274;1227;1135;1086;967;883;860;768;623
1415;1387;1319;1303;1271;1230;1134;1089;967;878;863;768;619
1420;1390;1310;1302;1271;1239;1135;1079;970;871;860;774;631
1420;1391;1324;1303;1278;1233;1133;1090;970;871;861;774;629
1414;1383;1319;1303;1279;1228;1135;1088;967;879;855;773;623
1415;1388;1359;1303;1280;1233;1132;1088;967;874;860;770;623
1415;1383;1318;1308;1276;1223;1131;1085;967;879;847;775;627
1420;1388;1325;1307;1271;1231;1135;1091;974;878;851;775;623
1415;1388;1319;1309;1280;1227;1131;1084;967;876;854;774;630
1420;1396;1334;1303;1274;1223;1137;1092;967;878;855;774;623
1420;1388;1294;1303;1276;1231;1127;1088;967;878;855;773;631
1415;1388;1327;1303;1279;1223;1137;1089;967;879;855;771;630
1418;1386;1322;1306;1271;1235;1140;1079;962;878;856;775;623
1420;1383;1327;1310;1275;1236;1135;1088;965;878;858;780;628
1420;1383;1338;1303;1278;1235;1143;1085;967;879;859;774;623
1423;1383;1327;1306;1271;1237;1134;1089;962;887;862;777;623
1415;1386;1319;1304;1275;1230;1135;1079;963;890;860;780;630
1418;1391;1295;1310;1263;1236;1138;1087;966;884;860;772;631
1415;1391;1316;1299;1275;1231;1139;1085;1007;879;855;775;627
1420;1390;1326;1303;1271;1230;1143;1086;967;879;855;773;630
1420;1386;1324;1302;1273;1223;1135;1079;960;875;859;776;623
1415;1390;1308;1303;1271;1231;1138;1088;967;886;863;767;637
1418;1390;1318;1307;1271;1231;1142;1088;943;876;855;768;631
1420;1390;1324;1303;1274;1230;1127;1089;967;871;855;774;623
1419;1390;1323;1303;1270;1236;1135;1087;963;875;855;774;619
1415;1390;1324;1308;1268;1237;1141;1088;974;879;855;775;628
1420;1389;1303;1303;1274;1242;1135;1086;967;879;855;775;625
1415;1383;1319;1303;1279;1238;1139;1088;972;874;854;770;623
1415;1388;1319;1307;1276;1227;1135;1087;963;871;859;769;627
1422;1390;1310;1303;1280;1231;1140;1089;963;879;862;776;631
1415;1386;1319;1308;1274;1236;1135;1088;972;879;855;771;631
1424;1387;1326;1310;1268;1231;1137;1088;963;879;862;772;623
1416;1390;1324;1303;1278;1231;1144;1087;966;883;859;773;625
1415;1389;1334;1303;1275;1223;1144;1090;967;879;855;775;631
1414;1383;1319;1303;1271;1236;1143;1085;967;879;860;774;623
1423;1388;1323;1310;1272;1228;1141;1091;963;879;868;772;628
1414;1390;1326;1303;1271;1238;1142;1083;969;871;855;782;625
1422;1388;1325;1303;1271;1231;1139;1088;964;879;859;772;628
1419;1390;1323;1308;1274;1235;1140;1079;967;883;854;779;627
1421;1390;1324;1307;1280;1236;1135;1088;966;883;854;775;623
1415;1390;1327;1302;1271;1227;1139;1089;967;879;855;779;623
1415;1390;1324;1308;1277;1231;1135;1083;967;879;855;780;627
1423;1388;1319;1303;1271;1231;1135;1089;968;879;855;778;636
1422;1396;1324;1308;1280;1231;1127;1090;966;878;863;774;623
1415;1383;1323;1308;1263;1230;1135;1088;964;878;855;774;623
1415;1392;1326;1302;1274;1231;1135;1088;972;884;855;778;630
1415;1388;1287;1302;1276;1230;1135;1088;967;876;860;774;623
1415;1391;1340;1308;1271;1234;1141;1079;970;892;862;775;631
1415;1383;1319;1307;1276;1231;1135;1079;965;879;860;775;631
1422;1390;1324;1308;1270;1231;1135;1079;972;879;855;775;630
1420;1383;1328;1308;1281;1235;1137;1088;962;884;855;775;631
1420;1391;1294;1303;1282;1231;1135;1086;967;886;855;771;623
1420;1383;1322;1295;1276;1231;1134;1088;964;871;854;771;631
1418;1390;1326;1308;1279;1230;1131;1088;967;883;855;771;626
1415;1383;1299;1303;1268;1231;1127;1088;962;879;862;778;637
1420;1391;1319;1303;1280;1235;1127;1079;967;887;855;774;632
1415;1390;1319;1305;1271;1223;1135;1088;966;879;862;771;631
1419;1391;1324;1308;1263;1227;1135;1088;966;886;862;774;619
1418;1386;1339;1308;1277;1231;1133;1079;966;878;862;772;634
1421;1391;1326;1303;1270;1235;1139;1088;965;879;859;775;630
1422;1387;1319;1300;1276;1231;1135;1086;962;879;860;774;631
1422;1383;1327;1303;1277;1233;1127;1079;967;871;855;771;631
1415;1396;1324;1308;1271;1231;1137;1088;971;903;860;775;628
1422;1390;1323;1303;1280;1239;1135;1088;965;883;855;776;640
1415;1388;1323;1302;1271;1230;1143;1084;963;887;855;771;631
1419;1388;1323;1302;1278;1227;1127;1088;962;879;859;780;636
1415;1390;1303;1303;1271;1231;1135;1092;961;844;854;776;627
1422;1383;1320;1303;1271;1231;1135;1088;964;879;855;776;635
1420;1388;1323;1302;1269;1235;1135;1085;967;879;855;772;631
1423;1390;1322;1303;1268;1239;1133;1085;963;878;855;771;634
1420;1383;1327;1295;1271;1231;1131;1086;963;878;854;775;631
1419;1388;1327;1303;1275;1243;1123;1095;967;886;855;772;630
1415;1391;1322;1295;1275;1239;1135;1079;963;878;855;774;631
1419;1383;1319;1304;1278;1235;1132;1079;967;879;855;775;639
1415;1388;1327;1295;1271;1245;1133;1087;960;886;855;775;637
1422;1391;1326;1298;1279;1236;1134;1083;962;883;859;771;640
1423;1387;1326;1295;1270;1231;1138;1088;961;886;857;780;631
1420;1390;1331;1308;1263;1231;1132;1088;964;886;860;782;631
1415;1383;1323;1295;1270;1231;1127;1088;963;878;856;780;639
1419;1390;1316;1295;1271;1237;1132;1089;963;879;858;775;631
1403;1383;1310;1321;1270;1231;1137;1088;956;879;855;770;636
1421;1383;1326;1295;1276;1230;1134;1089;974;879;860;772;631
1415;1390;1319;1297;1266;1231;1135;1083;960;884;855;771;636
1415;1390;1326;1308;1267;1235;1127;1088;962;879;865;772;631
1414;1383;1319;1303;1263;1240;1131;1079;965;890;862;772;641
1422;1383;1323;1300;1263;1231;1127;1088;963;882;860;775;636
1422;1383;1334;1294;1266;1235;1135;1079;963;888;852;775;631
1415;1390;1323;1295;1263;1228;1135;1088;966;878;854;775;636
1418;1383;1322;1310;1255;1227;1135;1083;969;887;860;773;639
1422;1383;1331;1295;1267;1230;1132;1089;960;886;855;780;640
1415;1388;1342;1294;1267;1231;1127;1079;961;892;855;772;635
1422;1383;1324;1303;1260;1227;1133;1088;970;886;857;774;630
1420;1391;1318;1297;1255;1230;1126;1079;965;879;860;771;631
1419;1383;1348;1295;1255;1236;1131;1089;964;882;863;774;631
1418;1390;1324;1291;1260;1223;1127;1089;967;883;855;780;631
1420;1390;1319;1295;1260;1231;1132;1088;967;879;855;771;627
1415;1383;1322;1295;1254;1231;1135;1092;972;871;861;775;631
1422;1388;1335;1299;1254;1238;1135;1089;966;884;855;771;636
1415;1383;1318;1287;1255;1231;1131;1079;967;879;860;774;627
1420;1388;1326;1296;1252;1237;1134;1079;967;879;854;774;631
1420;1388;1319;1294;1247;1231;1135;1089;963;884;855;771;640
1422;1391;1294;1292;1254;1231;1127;1089;962;884;860;771;636
1420;1387;1319;1294;1246;1231;1127;1085;958;884;855;774;631
1420;1388;1323;1292;1252;1239;1127;1086;969;887;863;771;640
1415;1389;1322;1294;1247;1231;1131;1088;962;879;854;771;631
1423;1390;1351;1294;1246;1234;1127;1092;963;879;861;774;637
1418;1383;1326;1294;1247;1231;1132;1090;961;879;855;775;636
1415;1390;1325;1292;1239;1236;1132;1088;963;879;847;774;632
1418;1383;1326;1292;1246;1231;1131;1089;960;887;854;780;639
1422;1388;1319;1296;1239;1235;1134;1088;967;890;854;767;631
1422;1383;1323;1287;1243;1231;1131;1087;961;884;855;774;634
1420;1389;1324;1292;1246;1236;1127;1091;967;886;859;774;631
1420;1388;1323;1287;1239;1239;1127;1089;961;883;862;774;642
1422;1386;1316;1287;1243;1238;1133;1091;963;883;861;775;631
1422;1383;1326;1294;1246;1231;1127;1090;962;878;847;779;631
1414;1390;1319;1295;1246;1231;1131;1083;966;884;855;771;635
1422;1383;1314;1294;1246;1239;1127;1089;962;879;855;779;639
1415;1390;1314;1295;1247;1231;1137;1088;963;883;855;774;638
1418;1388;1324;1291;1247;1231;1141;1092;961;886;862;774;635
1415;1387;1319;1295;1243;1235;1133;1088;963;888;863;771;642
1418;1382;1295;1294;1239;1231;1122;1090;964;878;855;774;634
1415;1390;1295;1294;1243;1231;1133;1090;962;883;851;771;631
1415;1391;1319;1292;1239;1231;1135;1090;960;879;860;775;636
1415;1391;1319;1293;1254;1231;1134;1089;962;887;855;777;631
1422;1392;1316;1290;1246;1231;1127;1089;965;886;860;778;631
1418;1390;1297;1287;1246;1242;1134;1089;962;886;855;774;635
1415;1387;1326;1287;1239;1238;1135;1088;963;886;860;772;640
1422;1391;1325;1290;1246;1231;1132;1088;963;879;854;767;635
1417;1383;1315;1294;1244;1230;1127;1088;972;883;855;771;640
1419;1388;1326;1294;1239;1231;1135;1092;960;879;855;774;631
1421;1387;1319;1287;1243;1231;1127;1089;961;884;855;771;640
1422;1396;1325;1290;1248;1231;1137;1087;962;879;860;775;631
1415;1388;1356;1290;1246;1231;1131;1088;966;886;854;769;641
1420;1386;1324;1296;1247;1239;1127;1083;961;883;851;770;631
1414;1391;1324;1294;1246;1227;1131;1091;960;886;854;771;640
1420;1388;1324;1294;1247;1231;1127;1091;958;885;855;774;642
1422;1388;1324;1287;1246;1231;1139;1088;960;886;855;774;640
1418;1383;1323;1287;1246;1231;1140;1079;961;882;860;775;640
1417;1383;1327;1287;1250;1229;1131;1088;960;886;855;767;644
1415;1387;1326;1292;1250;1239;1127;1088;962;891;855;772;612
1422;1387;1327;1295;1246;1238;1135;1089;966;879;863;774;631
1419;1388;1324;1287;1247;1238;1138;1092;964;892;857;778;635
1425;1388;1319;1287;1246;1231;1139;1088;966;879;860;770;640
1415;1387;1319;1290;1251;1231;1127;1091;967;886;856;771;604
1420;1390;1333;1294;1239;1231;1134;1087;960;886;860;779;635
1415;1383;1324;1292;1254;1231;1135;1089;963;890;860;774;635
1418;1390;1311;1287;1244;1240;1127;1090;963;883;855;775;640
1420;1383;1319;1293;1247;1239;1132;1088;967;883;860;774;638
1414;1388;1324;1295;1247;1239;1132;1092;961;879;856;771;637
1420;1383;1335;1287;1251;1238;1134;1086;963;879;860;778;635
1419;1383;1352;1294;1247;1231;1131;1079;963;879;855;775;640
1422;1388;1319;1294;1251;1236;1134;1089;965;879;855;774;643
1434;1383;1319;1294;1252;1231;1134;1090;960;887;855;771;640
1414;1388;1315;1287;1252;1223;1127;1091;963;890;855;777;631
1419;1388;1308;1290;1247;1238;1127;1089;958;879;861;774;644
1420;1388;1324;1294;1252;1236;1134;1088;965;879;854;775;644
1420;1383;1326;1294;1253;1231;1127;1090;962;883;858;770;643
1422;1383;1293;1295;1247;1239;1135;1091;960;884;847;774;636
1421;1390;1335;1294;1246;1227;1127;1088;964;887;854;771;640
1420;1387;1326;1294;1255;1239;1135;1089;962;879;854;776;631
1419;1399;1323;1291;1256;1223;1127;1088;963;894;860;774;638
1415;1390;1319;1295;1255;1231;1131;1090;960;887;855;771;640
1419;1388;1319;1287;1247;1244;1127;1089;971;887;855;783;631
1418;1383;1322;1300;1255;1231;1135;1089;963;886;862;769;640
1422;1390;1348;1294;1254;1235;1127;1089;960;879;855;772;643
1422;1390;1326;1295;1260;1243;1127;1090;966;879;855;772;636
1422;1383;1327;1295;1246;1239;1127;1089;964;890;855;780;631
1415;1383;1325;1294;1251;1239;1143;1083;960;887;852;770;640
1420;1391;1323;1295;1251;1230;1131;1089;964;890;855;780;640
1418;1386;1324;1294;1260;1238;1127;1089;962;883;855;770;631
1420;1388;1329;1287;1255;1231;1127;1090;967;879;851;774;640
1420;1387;1314;1294;1255;1239;1133;1092;967;883;851;780;638
1415;1383;1326;1295;1252;1239;1135;1091;955;887;860;775;640
1423;1391;1319;1287;1254;1240;1137;1083;967;886;859;774;640
1415;1390;1322;1294;1247;1231;1133;1090;967;879;852;771;641
1415;1388;1327;1291;1256;1233;1134;1089;971;887;852;779;641
1422;1388;1327;1291;1255;1227;1132;1092;973;887;855;774;640
1415;1390;1356;1295;1255;1236;1135;1089;962;879;847;775;640
1420;1387;1326;1287;1268;1235;1127;1087;967;892;847;770;631
1428;1383;1326;1295;1255;1227;1143;1092;966;879;861;772;636
1420;1390;1319;1295;1255;1233;1131;1089;960;887;855;779;634
1415;1386;1332;1295;1255;1231;1127;1094;963;879;861;767;639
1415;1391;1324;1295;1254;1218;1127;1088;955;890;860;769;635
1415;1383;1322;1295;1263;1231;1143;1089;967;879;855;775;638
1420;1394;1319;1295;1255;1231;1135;1088;964;887;862;773;636
1415;1387;1326;1295;1263;1235;1135;1091;967;892;863;768;634
1422;1383;1326;1295;1262;1236;1135;1093;964;887;859;774;640
1415;1388;1303;1295;1262;1235;1131;1092;960;879;863;771;631
1423;1390;1319;1294;1255;1235;1135;1096;962;886;862;772;647
1422;1383;1324;1295;1260;1231;1131;1088;963;884;855;783;631
1420;1386;1326;1295;1254;1231;1134;1089;951;887;855;775;640
1418;1383;1326;1296;1259;1231;1131;1088;955;890;855;770;639
1422;1390;1319;1295;1267;1237;1135;1091;965;892;860;775;640
1419;1383;1326;1295;1269;1231;1139;1089;955;879;851;775;640
1423;1390;1312;1295;1262;1235;1127;1091;967;879;855;774;640
1415;1388;1318;1295;1255;1239;1135;1092;951;889;859;776;640
1419;1383;1326;1300;1254;1228;1142;1089;966;879;855;772;641
1422;1387;1326;1298;1262;1244;1135;1089;966;878;860;774;643
1422;1396;1326;1294;1260;1238;1135;1091;962;886;855;774;640
1415;1383;1295;1298;1255;1235;1134;1090;958;892;855;768;640
1420;1391;1326;1294;1259;1231;1133;1091;962;886;855;775;636
1420;1383;1322;1294;1267;1231;1127;1089;967;883;851;774;642
1422;1390;1332;1294;1255;1239;1137;1095;960;887;859;780;631
1420;1391;1319;1294;1262;1235;1135;1088;956;887;859;779;635
1418;1390;1326;1300;1263;1230;1135;1091;951;892;861;774;639
1422;1386;1326;1295;1270;1231;1140;1088;964;879;855;775;638
1415;1391;1326;1287;1259;1231;1135;1090;950;894;855;771;643
1419;1386;1326;1300;1263;1234;1134;1091;962;887;854;775;631
1423;1390;1350;1294;1267;1235;1127;1094;966;887;854;771;640
1420;1383;1319;1295;1262;1231;1135;1092;961;892;851;775;631
1415;1383;1324;1295;1263;1231;1134;1090;967;886;854;771;640
1420;1383;1319;1290;1267;1236;1133;1085;962;892;855;767;640
1422;1383;1323;1295;1262;1231;1139;1088;964;887;855;774;635
1420;1383;1326;1297;1259;1235;1135;1089;958;888;855;771;635
